VarName,NickName,DataSet,DataType,IndicatorType,Comment
HV207,LearningPR,PR,Factor,ResponseV,
HV207,Radio,PR,Factor,Learning,
HV208,Television,PR,Factor,Learning,
HV221,Telephone,PR,Factor,Learning,
HV243A,MobilePhonePR,PR,Factor,Learning,
HV201,WaterOnsitePR,PR,Factor,ResponseV,
HV204,WaterTime,PR,Factor,Water,
HV230A,HandWashPR,PR,Factor,ResponseV,
HV214,Wall,PR,Factor,WallRoof,
HV215,Roof,PR,Factor,WallRoof,
HV216,NotCrowdedPR,PR,Factor,ResponseV,
HV009,NumberMember,PR,Factor,NotCrowded,
HV208,Covid1,PR,Factor,ResponseV0,# telvision data
HV208,Covid2,PR,Factor,ResponseV0,# telvision data
HV208,Covid,PR,Factor,ResponseV,# telvision data
HV105,aGroupPR,PR,INT,IndependentV,
HV109,EducationPR,PR,Factor,IndependentV,
HV230B,HandWashWater,PR,Factor,HandWash,
HV232,HandWashSoap,PR,Factor,HandWash,
HV232C,HandWashSoap2,PR,Factor,HandWash,
HV232D,HandWashSoap3,PR,Factor,HandWash,
HV232E,HandWashSoap4,PR,Factor,HandWash,
HV205,SafeSanitationPR,PR,Factor,ResponseV,
HV225,SharedToilet,PR,Factor,SafeSanitation,
SH36,Caste,PR,Factor,IndependentV,
SH34,Religion,PR,Factor,IndependentV,
SH36,Caste,HR,Factor,IndependentV,
SH34,Religion,HR,Factor,IndependentV,
S116,Caste,IR,Factor,IndependentV,
V130,Religion,IR,Factor,IndependentV,
SM118,Caste,MR,Factor,IndependentV,
MV130,Religion,MR,Factor,IndependentV,
S930,MobilePhone,IR,Factor,ResponseV,
V467C,HealthcareNotAffordable,IR,Factor,ResponseV,
V467D,HealthcareFar,IR,Factor,ResponseV,
V467C,HealthcareNotAccessible,IR,Factor,ResponseV,
V467D,HealthcareNotAccessible,IR,Factor,ResponseV,
V467B,HealthcareNotUsed,IR,Factor,ResponseV,
V467C,HealthcareNotUsed,IR,Factor,ResponseV,
V467D,HealthcareNotUsed,IR,Factor,ResponseV,
V467E,HealthcareNotUsed,IR,Factor,ResponseV,
V467F,HealthcareNotUsed,IR,Factor,ResponseV,
V467G,HealthcareNotUsed,IR,Factor,ResponseV,
V467H,HealthcareNotUsed,IR,Factor,ResponseV,
V467I,HealthcareNotUsed,IR,Factor,ResponseV,
V467J,HealthcareNotUsed,IR,Factor,ResponseV,
V467K,HealthcareNotUsed,IR,Factor,ResponseV,
V467B,HealthcareDiscouraged,IR,Factor,ResponseV,
V467E,HealthcareDiscouraged,IR,Factor,ResponseV,
V467F,HealthcareDiscouraged,IR,Factor,ResponseV,
V467G,HealthcareDiscouraged,IR,Factor,ResponseV,
V467H,HealthcareDiscouraged,IR,Factor,ResponseV,
V467I,HealthcareDiscouraged,IR,Factor,ResponseV,
V467J,HealthcareDiscouraged,IR,Factor,ResponseV,
V467K,HealthcareDiscouraged,IR,Factor,ResponseV,
V744A,ReasonBeating,IR,Factor,ResponseV,
V744B,ReasonBeating,IR,Factor,ResponseV,
V744C,ReasonBeating,IR,Factor,ResponseV,
V744D,ReasonBeating,IR,Factor,ResponseV,
V744E,ReasonBeating,IR,Factor,ResponseV,
V744A,NoViolenceJustifiedAgainstWomen,IR,Factor,ResponseV,
V744B,NoViolenceJustifiedAgainstWomen,IR,Factor,ResponseV,
V744C,NoViolenceJustifiedAgainstWomen,IR,Factor,ResponseV,
V744D,NoViolenceJustifiedAgainstWomen,IR,Factor,ResponseV,
V744E,NoViolenceJustifiedAgainstWomen,IR,Factor,ResponseV,
S936F,ReasonBeating,IR,Factor,ResponseV,
S936G,ReasonBeating,IR,Factor,ResponseV,
S936F,NoViolenceJustifiedAgainstWomen,IR,Factor,ResponseV,
S936G,NoViolenceJustifiedAgainstWomen,IR,Factor,ResponseV,
S559,EarlyChildhoodEducation,KR,Factor,ResponseV,
S116,Caste,KR,Factor,IndependentV,
V130,Religion,KR,Factor,IndependentV,
V190,PoorerHousehold,KR,Factor,IndependentV,
V025,Residence,KR,Factor,IndependentV,
V106,MotherEducation,KR,Factor,IndependentV,
HIDX,NUnder5,KR,String,IndependentV,# BirthHistory
B4,Sex,KR,Factor,IndependentV,
B8,Age,KR,Factor,CurrentAge,
CASEID,CASEID,KR,ID,ID,
V001,cluster_id,KR,ID,ID,
V002,HouseholdNumber,KR,ID,ID,
V003,RLNumber,KR,ID,ID,
V024,Region,KR,ID,ID,
B5,ChildAlive,KR,Factor,ECE,
V005,SampleWeight,KR,INT,Weight,
V008,InterviewDate,KR,INT,Date,
B3,BirthDate,KR,INT,Date,
