"IndicatorName","SurveyID","FormularString","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x","Latest...1.y","Sample.Size.y","Overall.Mean.y","Max.Leaf.Size.y","Max.Leaf.Access.y","Min.Leaf.Size.y","Min.Leaf.Access.y","Max.Leaf.Characteristics.y","Min.Leaf.Characteristics.y","InUse.y","VariableID","DatasetSource","MergeResult","AnaResult","Country_ISO","Year","TreeID"
"AccessElectricity","KGZ2014","HighestEducation+Language+PoorerHousehold+Religion+Residence","0.5","6934",0.997754012766396,"0.07055095601478",0.324081552535783,"0.274281136943354","0.993586939006233","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Lower + Secondary","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Secondary","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KGZ","2014","KGZ+2014+AccessElectricity+HighestEducation+Language+PoorerHousehold+Religion+Residence"
"AccessElectricity","KGZ2014","HighestEducation+PoorerHousehold+Residence","0.5","6934",0.997754012766396,"0.324081552535783",1,"0.344832092958136","0.994899019851754","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Lower + Secondary","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KGZ","2014","KGZ+2014+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","TLS71","HighestEducation+PoorerHousehold+Residence","1","11501.999758",0.732506841702891,"0.223663705279655",0.990838115797068,"0.227724987403013","0.430998525078954","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","TLS","2016","TLS+2016+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","LAO2017","HighestEducation+PoorerHousehold+Residence","1","22287",0.936565529378049,"0.623772552281405",1,"0.376227447718585","0.831393294118724","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","LAO","2017","LAO+2017+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","IDN63","HighestEducation+PoorerHousehold+Residence","0","43852.000687",0.959574622132907,"0.57457538942959",0.997229593774582,"0.139951804612175","0.860408039675331","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Residence~Rural // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","IDN","2012","IDN+2012+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","TON2019","HighestEducation+PoorerHousehold+Residence","1","2498",0.962545439374119,"0.591094899659607",1,"0.408905100340392","0.908402803988741","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","TON","2019","TON+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","NPL61","HighestEducation+PoorerHousehold+Residence","0","10826.000151",0.763129092995336,"0.116801636094864",0.998523173524523,"0.214018742627302","0.381748833239718","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Secondary + Higher // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","NPL","2011","NPL+2011+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","GEO2018","Ethnicity+HighestEducation+PoorerHousehold+Residence","1","12270",0.997624223699764,"0.414021226673288",0.999696515920665,"0.095857212059825","0.992953132763337","MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0","MIN-leaf // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","GEO","2018","GEO+2018+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","GEO2018","HighestEducation+PoorerHousehold+Residence","1","12270",0.997624223699764,"0.414021226673288",0.999696515920665,"0.095857212059825","0.992953132763337","MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0","MIN-leaf // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","GEO","2018","GEO+2018+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","THA2015","HighestEducation+Language+PoorerHousehold+Religion+Residence","0.5","28651.9999999999",0.995831199731695,"0.073712868169607",0.999775170711135,"0.22187050720534","0.990757407475012","MAX-leaf // PoorerHousehold ~ 0 // Religion ~ MinorReligion + Buddhism // HighestEducation ~ Lower // Residence ~ Rural","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower // Residence~Rural","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","THA","2015","THA+2015+AccessElectricity+HighestEducation+Language+PoorerHousehold+Religion+Residence"
"AccessElectricity","MNG2018","Ethnicity+HighestEducation+PoorerHousehold+Residence","1","13798",0.978839847906711,"0.076999457301287",0.5194601886919,"0.069266606981123","0.906798358291269","MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0","MIN-leaf // Residence~Rural // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Kazakh","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","MNG","2018","MNG+2018+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","PNG70","HighestEducation+PoorerHousehold+Residence","1","16021.00026",0.146112940890746,"0.094960712771375",0.546280415972914,"0.420386780269613","0","MAX-leaf // Residence ~ Urban","MIN-leaf // Residence~Rural // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","PNG","2018","PNG+2018+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","NPL2019","HighestEducation+Language+PoorerHousehold+Religion+Residence","1","12655",0.904909219492841,"0.6063199742165",0.999414108617774,"0.038678588808645","0.624153928318987","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Language~MinorLanguage // HighestEducation~Lower // Religion~Hindu // Residence~Rural","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","NPL","2019","NPL+2019+AccessElectricity+HighestEducation+Language+PoorerHousehold+Religion+Residence"
"AccessElectricity","NPL2019","HighestEducation+PoorerHousehold+Residence","1","12655",0.904909219492841,"0.6063199742165",0.999414108617774,"0.204730447730742","0.722513211540509","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Residence~Rural","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","NPL","2019","NPL+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","THA2012","HighestEducation+PoorerHousehold+Residence","0","24119",0.991126130649677,"0.583050892903496",0.995665467458156,"0.303105443586951","0.982535156271736","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Residence~Non-municipal","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","THA","2012","THA+2012+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","VNM2010","HighestEducation+PoorerHousehold+Residence","0","11614",0.988926508202921,"0.595639663867632",0.999705294229114,"0.404360336132368","0.97304890619341","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","VNM","2010","VNM+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","PHL61","HighestEducation+PoorerHousehold+Residence","0","14803.99753",0.875483810756891,"0.609962709646555",0.99464135841751,"0.105149462153417","0.496145864569698","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","PHL","2013","PHL+2013+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","KHM72","HighestEducation+PoorerHousehold+Residence","1","15825.000042",0.560668986947988,"0.139408020040749",0.988603599930775,"0.243613975467187","0.167899792026188","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Higher","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KHM","2014","KHM+2014+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","IDN71","HighestEducation+PoorerHousehold+Residence","1","47963.001382",0.97115755327774,"0.228347417830909",0.998258021213458,"0.145825191094585","0.91112722872907","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Lower + Higher","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","IDN","2017","IDN+2017+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","BGD61","HighestEducation+PoorerHousehold+Residence","0","17141.000477",0.595778254933421,"0.091151490666865",0.992591132590263,"0.250125875368411","0.195101054989488","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Higher","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Higher","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","BGD","2011","BGD+2011+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","MNG2013","HighestEducation+PoorerHousehold+Residence","0","14805",0.81170061539534,"0.500929528839105",0.992426755379014,"0.122593842558555","0.322617972371445","MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0","MIN-leaf // Residence~Rural // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","MNG","2013","MNG+2013+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","THA2015","HighestEducation+PoorerHousehold+Residence","0.5","28651.9999999999",0.995831199731695,"0.121618863847983",0.999107842265772,"0.22187050720534","0.990757407475012","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Lower + Secondary // Residence ~ Rural","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower // Residence~Rural","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","THA","2015","THA+2015+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","TKM2019","HighestEducation+PoorerHousehold+Residence","1","6195.000089",0.996064795536761,"0.372671407398264",0.998753628992364,"0.176394703196266","0.984452451479142","MAX-leaf // PoorerHousehold ~ 1","MIN-leaf // PoorerHousehold~0 // Residence~Rural","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","TKM","2019","TKM+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","TJK61","HighestEducation+PoorerHousehold+Residence","0","6431.999668",0.991088742077342,"0.636347234960712",0.999327987553605,"0.229925740101888","0.969583138234415","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Secondary","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","TJK","2012","TJK+2012+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","VNM2010","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","0","11614",0.988926508202921,"0.595639663867632",0.999705294229114,"0.107846449765323","0.951328672181416","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Religion~MinorReligion + Buddhism + Christian Catholic","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","VNM","2010","VNM+2010+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","PAK61","HighestEducation+PoorerHousehold+Residence","0","12943.000385",0.936155352899652,"0.319083506694961",0.999959869710582,"0.23217705026747","0.809815211045309","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","PAK","2013","PAK+2013+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","BTN2010","HighestEducation+PoorerHousehold+Residence","1","14676.000154",0.732845325438936,"0.290297795468394",0.996081959230158,"0.382290583205727","0.369483450817875","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","BTN","2010","BTN+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","PHL70","HighestEducation+PoorerHousehold+Residence","1","27495.99971",0.927116688822514,"0.596544163478245",0.996509485796052,"0.101386584463272","0.67074791797551","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","PHL","2017","PHL+2017+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","ARM61","HighestEducation+PoorerHousehold+Residence","0","6699.999965",0.997835845063322,"0.601189372692787",0.99911206213382,"0.107400554590898","0.989850509567954","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Residence~Urban","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","ARM","2010","ARM+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","ARM71","","1","7893.000182",0.999637373630559,"No Analysis for extremem values",NA,"","","","","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","ARM","2016","ARM+2016+AccessElectricity+"
"AccessElectricity","MDV71","HighestEducation+PoorerHousehold+Residence","1","6049.999682",0.997702838391653,"0.290418142868259",1,"0.196353093957073","0.991587673336211","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Lower + Secondary","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Higher","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","MDV","2017","MDV+2017+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","KAZ2010","HighestEducation+PoorerHousehold+Residence","0.5","15800",0.99795605885036,"0.667595357613412",0.99997935691613,"0.332404642386573","0.993892504304075","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KAZ","2010","KAZ+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","THA2012","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","0","24119",0.991126130649677,"0.583050892903496",0.995665467458156,"0.303105443586951","0.982535156271736","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // Residence~Non-municipal","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","THA","2012","THA+2012+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","KIR2019","HighestEducation+PoorerHousehold+Residence","1","3071",0.483533856341237,"0.138115205252224",0.890911882107076,"0.461890347619387","0.141086459695283","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KIR","2019","KIR+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","AFG70","HighestEducation+PoorerHousehold+Residence","1","24395.000069",0.714547224664736,"0.256982043790454",0.924603233648353,"0.167142777473545","0.54188110925071","MAX-leaf // Residence ~ Urban","MIN-leaf // Residence~Rural // HighestEducation~Lower // PoorerHousehold~0","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","AFG","2015","AFG+2015+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","IND71","HighestEducation+PoorerHousehold+Residence","1","601508.990739",0.882037915940664,"0.312380771872014",0.993358475215818,"0.132673251618326","0.636473725832709","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","IND","2016","IND+2016+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","TON2019","HighestEducation+PoorerHousehold+Residence","1","2498",0.982396236359229,"0.591094899659607",1,"0.065677456131429","0.908256906657631","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","TON","2019","TON+2019+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","MNG2018","HighestEducation+PoorerHousehold+Residence","1","13798",0.978839847906711,"0.076999457301287",0.5194601886919,"0.253705575281798","0.92385189942124","MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0","MIN-leaf // Residence~Rural // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","MNG","2018","MNG+2018+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","BGD70","HighestEducation+PoorerHousehold+Residence","0.5","17300.000643",0.728611738930789,"0.244025476363675",0.992948142743714,"0.187345070551278","0.340054388541022","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","BGD","2014","BGD+2014+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","TON2019","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","1","2498",0.962545439374119,"0.591094899659607",1,"0.065677456131429","0.8535653156487","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","TON","2019","TON+2019+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","VNM2013","HighestEducation+PoorerHousehold+Residence","1","9978.99999999999",0.992419868140279,"0.583787337545699",0.999035814747684,"0.299758120240031","0.97814735429189","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","VNM","2013","VNM+2013+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","LAO2011","HighestEducation+PoorerHousehold+Residence","0","18843",0.763661511663822,"0.253113749218817",0.995454745137811,"0.37778619066089","0.420902418250993","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","LAO","2011","LAO+2011+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
"AccessElectricity","KAZ2010","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","0.5","15800",0.99795605885036,"0.667595357613412",0.99997935691613,"0.200320766327501","0.991651888897128","MAX-leaf // PoorerHousehold ~ 0","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Secondary // Ethnicity~MinorEthnicity + Kazakh","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KAZ","2010","KAZ+2010+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","KIR2019","Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence","1","3071",0.483533856341237,"0.138115205252224",0.890911882107076,"0.097556514456298","0.103309170892821","MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher","MIN-leaf // PoorerHousehold~1 // Religion~UnitingChurch","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","KIR","2019","KIR+2019+AccessElectricity+Ethnicity+HighestEducation+PoorerHousehold+Religion+Residence"
"AccessElectricity","TLS61","HighestEducation+PoorerHousehold+Residence","0","11463.00062",0.379525623806518,"0.20765549579112",0.927429699178444,"0.217006893697613","0.028444580625194","MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAN","H11","HR+HH","ALL","All","TLS","2010","TLS+2010+AccessElectricity+HighestEducation+PoorerHousehold+Residence"
