ID,Source,Type,Type_Code,Country,Year,Latest = 1,Additional variables,Indicator Name,Formula,Sample Size,Overall Mean,Max Leaf Size,Max Leaf Access,Min Leaf Size,Min Leaf Access,Gap,Max Leaf Characteristics,Min Leaf Characteristics,Most imp. Var.,2nd var,3rd var,4th var,5th var,,,
,MICS,Household,,Afghanistan,2010,0,Yes,CleanWater , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.557841636868091,0.047173210160263,0.901963546165548,0.091133523724076,0.297578922850788,0.60438462331476,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // Ethnicity ~ Pashto,MIN-leaf // PoorerHousehold~1 // Ethnicity~MinorEthnicity + Uzbek/Turkmen,PoorerHousehold,Ethnicity,Residence,HighestEducation,,,,
Afghanistan2010MICShhHouseholdBasic ,MICS,Household,hh,Afghanistan,2010,0,No,HouseholdBasic , PoorerHousehold + Residence + HighestEducation,13116.000075,0.082775785055796,0.100906010401955,0.478775853633027,0.415629538718192,0,0.478775853633027,MAX-leaf // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,HighestEducation,PoorerHousehold,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,HouseholdBasic , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.082775785055796,0.035650558045609,0.615051698773016,0.415629538718192,0,0.615051698773016,MAX-leaf // Residence ~ Urban // HighestEducation ~ Higher,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,HighestEducation,PoorerHousehold,Ethnicity,,,,
Afghanistan2010MICShhHouseholdTechNeed ,MICS,Household,hh,Afghanistan,2010,0,No,HouseholdTechNeed , PoorerHousehold + Residence + HighestEducation,13116.000075,0.051919486894331,0.075752041881565,0.228036540748037,0.413019670785571,0.003922381900529,0.224114158847508,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,HouseholdTechNeed , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.051919486894331,0.075752041881565,0.228036540748037,0.413019670785571,0.003922381900529,0.224114158847508,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Ethnicity,Residence,,,,
Afghanistan2010MICShhLand ,MICS,Household,hh,Afghanistan,2010,0,No,Land , PoorerHousehold + HHSex + HighestEducation,10689.40237,0.635018224035662,0.093600648321371,0.737187047826909,0.300847809230705,0.58502848152961,0.152158566297299,MAX-leaf // HighestEducation ~ Secondary + Higher // PoorerHousehold ~ 1,MIN-leaf // HighestEducation~Lower // PoorerHousehold~0,HighestEducation,PoorerHousehold,,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,Land , PoorerHousehold + HHSex + HighestEducation + Ethnicity,10689.40237,0.635018224035662,0.107148016264637,0.752660202018083,0.181918417390438,0.52426448078455,0.228395721233533,MAX-leaf // HighestEducation ~ Secondary + Higher // Ethnicity ~ MinorEthnicity + Pashto,MIN-leaf // HighestEducation~Lower // Ethnicity~MinorEthnicity + Dari + Uzbek/Turkmen // PoorerHousehold~0,Ethnicity,HighestEducation,PoorerHousehold,,,,,
Afghanistan2010MICShhMobilePhoneHH ,MICS,Household,hh,Afghanistan,2010,0,No,MobilePhoneHH , PoorerHousehold + Residence + HighestEducation,13116.000075,0.694635997095326,0.099809073994687,0.974530385446452,0.421629490269734,0.390436312212187,0.584094073234265,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Secondary + Higher // Residence ~ Urban,MIN-leaf // PoorerHousehold~1,PoorerHousehold,HighestEducation,Residence,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,MobilePhoneHH , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.694635997095326,0.099809073994687,0.974530385446452,0.14726004048151,0.284143634993166,0.690386750453286,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Secondary + Higher // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Higher // Ethnicity~Dari,PoorerHousehold,HighestEducation,Ethnicity,Residence,,,,
Afghanistan2010MICShhSafeSanitation ,MICS,Household,hh,Afghanistan,2010,0,No,SafeSanitation , PoorerHousehold + Residence + HighestEducation,13116.000075,0.281478264935127,0.099809073994687,0.559597107170359,0.421629490269734,0.13339800787626,0.426199099294099,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~1,PoorerHousehold,Residence,HighestEducation,,,,,
,MICS,Household,,Afghanistan,2010,0,Yes,SafeSanitation , PoorerHousehold + Residence + HighestEducation + Ethnicity,13116.000075,0.281478264935127,0.099809073994687,0.559597107170359,0.249742198175461,0.109839640095593,0.449757467074766,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~1 // Ethnicity~Dari + Uzbek/Turkmen,PoorerHousehold,Residence,Ethnicity,HighestEducation,,,,
Afghanistan 2015DHSHRAccessElectricity ,DHS,Household,HR,Afghanistan ,2015,1,No,AccessElectricity , PoorerHousehold + Residence + HighestEducation,24395.000069,0.714547224664736,0.256982043790454,0.924603233648353,0.167142777473545,0.54188110925071,0.382722124397643,MAX-leaf // Residence ~ Urban,MIN-leaf // Residence~Rural // HighestEducation~Lower // PoorerHousehold~0,Residence,HighestEducation,PoorerHousehold,,,,,
Afghanistan 2015DHSHRBankCard ,DHS,Household,HR,Afghanistan ,2015,1,No,BankCard , PoorerHousehold + Residence + HighestEducation,24395.000069,0.115242427753567,0.113797797833487,0.414696805766055,0.224840671919899,0.017873141436273,0.396823664329782,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Afghanistan 2015DHSHRCleanFuel ,DHS,Household,HR,Afghanistan ,2015,1,No,CleanFuel , PoorerHousehold + Residence + HighestEducation,24395.000069,0.327669684746497,0.256982043790454,0.835224441978542,0.383714105165964,0.036692059751647,0.798532382226895,MAX-leaf // Residence ~ Urban,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,PoorerHousehold,HighestEducation,,,,,
Afghanistan 2015DHSHRCleanWater ,DHS,Household,HR,Afghanistan ,2015,1,No,CleanWater , PoorerHousehold + Residence + HighestEducation,24395.000069,0.65250859011998,0.243498588899304,0.877987638918632,0.224840671919899,0.42203819819444,0.455949440724192,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower,PoorerHousehold,Residence,HighestEducation,,,,,
Afghanistan 2015DHSHRHouseholdBasic ,DHS,Household,HR,Afghanistan ,2015,1,No,HouseholdBasic , PoorerHousehold + Residence + HighestEducation,24395.000069,0.18490465715276,0.256982043790454,0.568001972161466,0.383714105165964,0.003977303261466,0.5640246689,MAX-leaf // Residence ~ Urban,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,PoorerHousehold,HighestEducation,,,,,
Afghanistan 2015DHSHRHouseholdTechNeed ,DHS,Household,HR,Afghanistan ,2015,1,No,HouseholdTechNeed , PoorerHousehold + Residence + HighestEducation,24395.000069,0.872929079637954,0.176889283820236,0.960966995275784,0.224840671919899,0.75769431476556,0.203272680510224,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Secondary + Higher // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower,PoorerHousehold,HighestEducation,Residence,,,,,
Afghanistan 2015DHSHRLand ,DHS,Household,HR,Afghanistan ,2015,1,No,Land , PoorerHousehold + HHSex + HighestEducation,18125.923093,0.644393768199908,0.221605674888428,0.8262912840865,0.224951195427649,0.459525727060714,0.366765557025786,MAX-leaf // PoorerHousehold ~ 1 // HighestEducation ~ Secondary + Higher,MIN-leaf // PoorerHousehold~0 // HighestEducation~Lower,PoorerHousehold,HighestEducation,HHSex,,,,,
Afghanistan 2015DHSHRMobilePhone ,DHS,Household,HR,Afghanistan ,2015,1,No,MobilePhone , PoorerHousehold + Residence + HighestEducation,24395.000069,0.872929079637954,0.176889283820236,0.960966995275784,0.224840671919899,0.75769431476556,0.203272680510224,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Secondary + Higher // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower,PoorerHousehold,HighestEducation,Residence,,,,,
Afghanistan 2015DHSHRMultiDeprivation ,DHS,Household,HR,Afghanistan ,2015,1,No,MultiDeprivation , PoorerHousehold + Residence + HighestEducation,24395.000069,0.115242427753567,0.113797797833487,0.414696805766055,0.224840671919899,0.017873141436273,0.396823664329782,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Afghanistan 2015DHSHRSafeSanitation ,DHS,Household,HR,Afghanistan ,2015,1,No,SafeSanitation , PoorerHousehold + Residence + HighestEducation,24395.000069,0.25434137234886,0.256982043790454,0.521423969192626,0.219057109525928,0.089100188664111,0.432323780528515,MAX-leaf // Residence ~ Urban,MIN-leaf // Residence~Rural // PoorerHousehold~1 // HighestEducation~Lower,Residence,PoorerHousehold,HighestEducation,,,,,
Armenia2016DHSHRAccessElectricity,DHS,Household,HR,Armenia,2016,1,No,AccessElectricity,,7893.000182,0.999637373630559,No Analysis for extremem values,,,,0,,,,,,,,,,
Armenia2010DHSHRAccessElectricity ,DHS,Household,HR,Armenia,2010,0,No,AccessElectricity , PoorerHousehold + Residence + HighestEducation,6699.999965,0.997835845063322,0.601189372692787,0.99911206213382,0.107400554590898,0.989850509567954,0.009261552565866,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1 // Residence~Urban,Residence,PoorerHousehold,HighestEducation,,,,,
Armenia2010DHSHRBankCard ,DHS,Household,HR,Armenia,2010,0,No,BankCard , PoorerHousehold + Residence + HighestEducation,6699.999965,0.262845550328298,0.488956009419923,0.401802125807703,0.207388875859495,0.057227472818115,0.344574652989588,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2016DHSHRBankCard ,DHS,Household,HR,Armenia,2016,1,No,BankCard , PoorerHousehold + Residence + HighestEducation,7893.000182,0.379633249829817,0.460833045499604,0.518043032195257,0.216275383585187,0.167409898956654,0.350633133238603,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2010DHSHRBasicWater ,DHS,Household,HR,Armenia,2010,0,No,BasicWater , PoorerHousehold + Residence + HighestEducation,6699.999965,0.94682138046847,0.601189372692787,0.998366574974662,0.131954776211704,0.815975767663393,0.182390807311269,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1 // Residence~Rural // HighestEducation~Higher,PoorerHousehold,Residence,HighestEducation,,,,,
Armenia2016DHSHRBasicWater ,DHS,Household,HR,Armenia,2016,1,No,BasicWater , PoorerHousehold + Residence + HighestEducation,7893.000182,0.981776880060384,0.460833045499604,0.993925022686923,0.216275383585187,0.962277395018637,0.031647627668286,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Secondary,PoorerHousehold,Residence,HighestEducation,,,,,
Armenia2010DHSHRCleanFuel ,DHS,Household,HR,Armenia,2010,0,No,CleanFuel , PoorerHousehold + Residence + HighestEducation,6699.999965,0.983433250659726,0.601189372692787,0.999562390103294,0.291410072716321,0.947778259747778,0.051784130355516,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1 // Residence~Rural,PoorerHousehold,Residence,HighestEducation,,,,,
Armenia2016DHSHRCleanFuel ,DHS,Household,HR,Armenia,2016,1,No,CleanFuel , PoorerHousehold + Residence + HighestEducation,7893.000182,0.967790877722293,0.547721900077868,0.999448873507239,0.190195389381025,0.896179653658738,0.103269219848501,MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0,MIN-leaf // Residence~Rural // HighestEducation~Secondary,Residence,PoorerHousehold,HighestEducation,,,,,
Armenia2010DHSHRCleanWater ,DHS,Household,HR,Armenia,2010,0,No,CleanWater , PoorerHousehold + Residence + HighestEducation,6699.999965,0.947821061219961,0.601189372692787,0.998488350993116,0.291410072716321,0.849894839450273,0.148593511542843,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1 // Residence~Rural,PoorerHousehold,Residence,HighestEducation,,,,,
Armenia2016DHSHRCleanWater ,DHS,Household,HR,Armenia,2016,1,No,CleanWater , PoorerHousehold + Residence + HighestEducation,7893.000182,0.9988291971637,0.623837555867428,0.999839400885607,0.181397267703749,0.996444146937042,0.003395253948565,MAX-leaf // Residence ~ Urban,MIN-leaf // Residence~Rural // HighestEducation~Higher,Residence,PoorerHousehold,HighestEducation,,,,,
Armenia2010DHSHRHouseholdBasic ,DHS,Household,HR,Armenia,2010,0,No,HouseholdBasic , PoorerHousehold + Residence + HighestEducation,6699.999965,0.776878971073248,0.601189372692787,0.994259452025107,0.291410072716321,0.322212062762701,0.672047389262406,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1 // Residence~Rural,PoorerHousehold,Residence,HighestEducation,,,,,
Armenia2016DHSHRHouseholdBasic ,DHS,Household,HR,Armenia,2016,1,No,HouseholdBasic , PoorerHousehold + Residence + HighestEducation,7893.000182,0.762088805941953,0.547721900077868,0.996512955241577,0.194765176428827,0.328222293730702,0.668290661510875,MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0,MIN-leaf // Residence~Rural // HighestEducation~Lower + Secondary,Residence,PoorerHousehold,HighestEducation,,,,,
Armenia2010DHSHRHouseholdTechNeed ,DHS,Household,HR,Armenia,2010,0,No,HouseholdTechNeed , PoorerHousehold + Residence + HighestEducation,6699.999965,0.869088659166881,0.488956009419923,0.955846750802179,0.207388875859495,0.685797876831803,0.270048873970376,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2016DHSHRHouseholdTechNeed ,DHS,Household,HR,Armenia,2016,1,No,HouseholdTechNeed , PoorerHousehold + Residence + HighestEducation,7893.000182,0.963284120699644,0.460833045499604,0.986842228241462,0.216275383585187,0.912841205414419,0.074001022827043,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2010DHSHRLand ,DHS,Household,HR,Armenia,2010,0,No,Land , PoorerHousehold + HHSex + HighestEducation,2358.711716,0.903599392220088,0.256581390974868,0.943983621733489,0.129513119779662,0.855301195319447,0.088682426414042,MAX-leaf // HHSex ~ Male // PoorerHousehold ~ 1 // HighestEducation ~ Higher,MIN-leaf // HHSex~Male // PoorerHousehold~0,PoorerHousehold,HHSex,HighestEducation,,,,,
Armenia2016DHSHRLand ,DHS,Household,HR,Armenia,2016,1,No,Land , PoorerHousehold + HHSex + HighestEducation,2969.05024,0.841588482180753,0.140758692584468,0.952499467421523,0.158183572198495,0.791093995293434,0.161405472128089,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1 // HighestEducation~Lower + Secondary // HHSex~Female,PoorerHousehold,HHSex,HighestEducation,,,,,
Armenia2010DHSHRMobilePhone ,DHS,Household,HR,Armenia,2010,0,No,MobilePhone , PoorerHousehold + Residence + HighestEducation,6699.999965,0.869088659166881,0.488956009419923,0.955846750802179,0.207388875859495,0.685797876831803,0.270048873970376,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2016DHSHRMobilePhone ,DHS,Household,HR,Armenia,2016,1,No,MobilePhone , PoorerHousehold + Residence + HighestEducation,7893.000182,0.963284120699644,0.460833045499604,0.986842228241462,0.216275383585187,0.912841205414419,0.074001022827043,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2010DHSHRMultiDeprivation ,DHS,Household,HR,Armenia,2010,0,No,MultiDeprivation , PoorerHousehold + Residence + HighestEducation,6699.999965,0.262845550328298,0.488956009419923,0.401802125807703,0.207388875859495,0.057227472818115,0.344574652989588,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2016DHSHRMultiDeprivation ,DHS,Household,HR,Armenia,2016,1,No,MultiDeprivation , PoorerHousehold + Residence + HighestEducation,7893.000182,0.379633249829817,0.460833045499604,0.518043032195257,0.216275383585187,0.167409898956654,0.350633133238603,MAX-leaf // HighestEducation ~ Higher // PoorerHousehold ~ 0,MIN-leaf // HighestEducation~Lower + Secondary // PoorerHousehold~1,HighestEducation,PoorerHousehold,Residence,,,,,
Armenia2010DHSHRSafeSanitation ,DHS,Household,HR,Armenia,2010,0,No,SafeSanitation , PoorerHousehold + Residence + HighestEducation,6699.999965,0.795798056097453,0.601189372692787,0.990985367310603,0.291410072716321,0.375283049931693,0.61570231737891,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1 // Residence~Rural,PoorerHousehold,Residence,HighestEducation,,,,,
Armenia2016DHSHRSafeSanitation ,DHS,Household,HR,Armenia,2016,1,No,SafeSanitation , PoorerHousehold + Residence + HighestEducation,7893.000182,0.774550782976277,0.547721900077868,0.993929019047383,0.194765176428827,0.372259980247615,0.621669038799768,MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0,MIN-leaf // Residence~Rural // HighestEducation~Lower + Secondary,Residence,PoorerHousehold,HighestEducation,,,,,
Azerbaijan2006DHSHRBasicWater ,DHS,Household,HR,Azerbaijan,2006,1,No,BasicWater , PoorerHousehold + Residence + HighestEducation,7179.999995,0.742991874194284,0.229953279268769,0.91315604194817,0.301674669569413,0.557563894373721,0.355592147574449,MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,PoorerHousehold,HighestEducation,,,,,
Azerbaijan 2006DHSHRAccessElectricity ,DHS,Household,HR,Azerbaijan ,2006,1,No,AccessElectricity , PoorerHousehold + Residence + HighestEducation,7179.999995,0.994574622976723,0.626543521188396,0.999156040815586,0.373456478811601,0.986888432409272,0.012267608406314,MAX-leaf // PoorerHousehold ~ 0,MIN-leaf // PoorerHousehold~1,PoorerHousehold,Residence,HighestEducation,,,,,
Azerbaijan 2006DHSHRBankCard ,DHS,Household,HR,Azerbaijan ,2006,1,No,BankCard , PoorerHousehold + Residence + HighestEducation,7179.999995,0.015383428701521,0.305340505226561,0.030515792135703,0.343228920991109,0.005707574384489,0.024808217751214,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower + Secondary // Residence~Rural,HighestEducation,Residence,PoorerHousehold,,,,,
Azerbaijan 2006DHSHRCleanFuel ,DHS,Household,HR,Azerbaijan ,2006,1,No,CleanFuel , PoorerHousehold + Residence + HighestEducation,7179.999995,0.898093577784188,0.518770146461536,0.997998061436631,0.301674669569413,0.695848601549688,0.302149459886943,MAX-leaf // PoorerHousehold ~ 0 // Residence ~ Urban,MIN-leaf // PoorerHousehold~1 // Residence~Rural,PoorerHousehold,Residence,HighestEducation,,,,,
Azerbaijan 2006DHSHRCleanWater ,DHS,Household,HR,Azerbaijan ,2006,1,No,CleanWater , PoorerHousehold + Residence + HighestEducation,7179.999995,0.80309188036427,0.23368513052485,0.919620541994025,0.107773374726862,0.68148089247887,0.238139649515155,MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0 // HighestEducation ~ Lower + Higher,MIN-leaf // Residence~Rural // PoorerHousehold~0,Residence,PoorerHousehold,HighestEducation,,,,,
Azerbaijan 2006DHSHRHouseholdBasic ,DHS,Household,HR,Azerbaijan ,2006,1,No,HouseholdBasic , PoorerHousehold + Residence + HighestEducation,7179.999995,0.717629707742082,0.23368513052485,0.962831317036658,0.301674669569413,0.384620514148417,0.578210802888241,MAX-leaf // Residence ~ Urban // PoorerHousehold ~ 0 // HighestEducation ~ Lower + Higher,MIN-leaf // Residence~Rural // PoorerHousehold~1,Residence,PoorerHousehold,HighestEducation,,,,,
Azerbaijan 2006DHSHRHouseholdTechNeed ,DHS,Household,HR,Azerbaijan ,2006,1,No,HouseholdTechNeed , PoorerHousehold + Residence + HighestEducation,7179.999995,0.551451307626359,0.262400641547633,0.847074690462289,0.071781809242188,0.211194004641775,0.635880685820514,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Urban,PoorerHousehold,Residence,HighestEducation,,,,,
Azerbaijan 2006DHSHRLand ,DHS,Household,HR,Azerbaijan ,2006,1,No,Land , PoorerHousehold + HHSex + HighestEducation,2939.836956,0.801223824740572,0.550331817789421,0.826438130415004,0.243579583397822,0.762035783663173,0.064402346751831,MAX-leaf // HHSex ~ Male // PoorerHousehold ~ 1,MIN-leaf // HHSex~Female,HHSex,PoorerHousehold,HighestEducation,,,,,
Azerbaijan 2006DHSHRMobilePhone ,DHS,Household,HR,Azerbaijan ,2006,1,No,MobilePhone , PoorerHousehold + Residence + HighestEducation,7179.999995,0.551451307626359,0.262400641547633,0.847074690462289,0.071781809242188,0.211194004641775,0.635880685820514,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Urban,PoorerHousehold,Residence,HighestEducation,,,,,
Azerbaijan 2006DHSHRMultiDeprivation ,DHS,Household,HR,Azerbaijan ,2006,1,No,MultiDeprivation , PoorerHousehold + Residence + HighestEducation,7179.999995,0.015383428701521,0.305340505226561,0.030515792135703,0.343228920991109,0.005707574384489,0.024808217751214,MAX-leaf // HighestEducation ~ Higher,MIN-leaf // HighestEducation~Lower + Secondary // Residence~Rural,HighestEducation,Residence,PoorerHousehold,,,,,
Azerbaijan 2006DHSHRSafeSanitation ,DHS,Household,HR,Azerbaijan ,2006,1,No,SafeSanitation , PoorerHousehold + Residence + HighestEducation,7179.999995,0.774145287029349,0.262400641547633,0.89252254098322,0.071781809242188,0.665143454788974,0.227379086194246,MAX-leaf // PoorerHousehold ~ 0 // HighestEducation ~ Higher,MIN-leaf // PoorerHousehold~1 // Residence~Urban,PoorerHousehold,HighestEducation,Residence,,,,,
