"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","SurveySource","dataValidation","IndicatorName"
"IDN63+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"IDN63","ID","63","PR","MobilePhonePR","0.872760830207248","DHS",1,"MobilePhonePR"
"IDN71+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"IDN71","ID","71","HR","BankCardHH","0.519027193935","DHS",1,"BankCardHH"
"IDN71+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"IDN71","ID","71","PR","MobilePhonePR","0.926573193494682","DHS",1,"MobilePhonePR"
"IND71+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"IND71","IA","71","HR","BankCardHH","0.893971273419131","DHS",1,"BankCardHH"
"IND71+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"IND71","IA","71","IR","NoSexualViolence","0.932707630734843","DHS",1,"NoSexualViolence"
"KAZ2010+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"KAZ2010","Kazakhstan","2010","wm","NoViolenceJustifiedAgainstWomen","0.877956541165001","MICS",1,"NoViolenceJustifiedAgainstWomen"
"KAZ2015+AccessElectricity",NA,NA,NA,NA,NA,NA,NA,"KAZ2015","Kazakhstan","2015","hh","AccessElectricity","0.999592624084955","MICS",1,"AccessElectricity"
"KAZ2015+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"KAZ2015","Kazakhstan","2015","wm","NoViolenceJustifiedAgainstWomen","0.858375691714063","MICS",1,"NoViolenceJustifiedAgainstWomen"
"KGZ2014+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"KGZ2014","Kyrgyzstan","2014","wm","NoViolenceJustifiedAgainstWomen","0.672334994303156","MICS",1,"NoViolenceJustifiedAgainstWomen"
"KGZ2018+AccessElectricity",NA,NA,NA,NA,NA,NA,NA,"KGZ2018","Kyrgyzstan","2018","hh","AccessElectricity","0.999907396998971","MICS",1,"AccessElectricity"
"KGZ2018+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"KGZ2018","Kyrgyzstan","2018","wm","NoViolenceJustifiedAgainstWomen","0.70141820625063","MICS",1,"NoViolenceJustifiedAgainstWomen"
"KGZ61+AllViolence",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","IR","AllViolence","0.281087845501061","DHS",1,"AllViolence"
"KGZ61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","HR","BankCardHH","0.0436967269622502","DHS",1,"BankCardHH"
"KGZ61+Covid",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","PR","Covid","0.290507425680672","DHS",1,"Covid"
"KGZ61+EmotionalViolence",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","IR","EmotionalViolence","0.140006834800174","DHS",1,"EmotionalViolence"
"KGZ61+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","PR","MobilePhonePR","0.980281363996849","DHS",1,"MobilePhonePR"
"KGZ61+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","IR","NoSexualViolence","0.960179696060323","DHS",1,"NoSexualViolence"
"KGZ61+PhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","IR","PhysicalViolence","0.251406136003144","DHS",1,"PhysicalViolence"
"KGZ61+SexualPhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","IR","SexualPhysicalViolence","0.254224958516229","DHS",1,"SexualPhysicalViolence"
"KGZ61+SexualViolence",NA,NA,NA,NA,NA,NA,NA,"KGZ61","KY","61","IR","SexualViolence","0.0398203039396771","DHS",1,"SexualViolence"
"KHM61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"KHM61","KH","61","HR","BankCardHH","0.0549934039028739","DHS",1,"BankCardHH"
"KHM72+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"KHM72","KH","72","HR","BankCardHH","0.123543609845887","DHS",1,"BankCardHH"
"KHM72+InternetUse",NA,NA,NA,NA,NA,NA,NA,"KHM72","KH","72","IR","InternetUse","0.028632075171782","DHS",1,"InternetUse"
"KHM72+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"KHM72","KH","72","IR","NoSexualViolence","0.94525115771751","DHS",1,"NoSexualViolence"
"LAO2011+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"LAO2011","Lao","2011","wm","NoViolenceJustifiedAgainstWomen","0.417929654499724","MICS",1,"NoViolenceJustifiedAgainstWomen"
"LAO2017+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"LAO2017","Lao","2017","wm","NoViolenceJustifiedAgainstWomen","0.705211288138202","MICS",1,"NoViolenceJustifiedAgainstWomen"
"MDV71+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"MDV71","MV","71","HR","BankCardHH","0.961080806053504","DHS",1,"BankCardHH"
"MDV71+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"MDV71","MV","71","IR","FinancialInclusion","0.689601918559213","DHS",1,"FinancialInclusion"
"MDV71+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"MDV71","MV","71","PR","MobilePhonePR","0.992970570955882","DHS",1,"MobilePhonePR"
"MDV71+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"MDV71","MV","71","IR","NoSexualViolence","0.979727561133189","DHS",1,"NoSexualViolence"
"MMR71+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"MMR71","MM","71","HR","BankCardHH","0.115467032806101","DHS",1,"BankCardHH"
"MMR71+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"MMR71","MM","71","PR","MobilePhonePR","0.756722727112827","DHS",1,"MobilePhonePR"
"MMR71+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"MMR71","MM","71","IR","NoSexualViolence","0.970333419792259","DHS",1,"NoSexualViolence"
"MNG2013+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"MNG2013","Mongolia","2013","wm","NoViolenceJustifiedAgainstWomen","1","MICS",1,"NoViolenceJustifiedAgainstWomen"
"MNG2018+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"MNG2018","Mongolia","2018","wm","NoViolenceJustifiedAgainstWomen","0.90716190988427","MICS",1,"NoViolenceJustifiedAgainstWomen"
"NPL61+AllViolence",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","IR","AllViolence","0.314552805595413","DHS",1,"AllViolence"
"NPL61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","HR","BankCardHH","0.625348656989872","DHS",1,"BankCardHH"
"NPL61+Covid",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","PR","Covid","0.133375567028602","DHS",1,"Covid"
"NPL61+EmotionalViolence",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","IR","EmotionalViolence","0.17666740815529","DHS",1,"EmotionalViolence"
"NPL61+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","PR","MobilePhonePR","0.768721042932204","DHS",1,"MobilePhonePR"
"NPL61+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","IR","NoSexualViolence","0.857276899046078","DHS",1,"NoSexualViolence"
"NPL61+PhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","IR","PhysicalViolence","0.231212973764115","DHS",1,"PhysicalViolence"
"NPL61+SexualPhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","IR","SexualPhysicalViolence","0.28195560735908","DHS",1,"SexualPhysicalViolence"
"NPL61+SexualViolence",NA,NA,NA,NA,NA,NA,NA,"NPL61","NP","61","IR","SexualViolence","0.142723100953922","DHS",1,"SexualViolence"
"NPL7H+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"NPL7H","NP","7H","HR","BankCardHH","0.682973955745879","DHS",1,"BankCardHH"
"NPL7H+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"NPL7H","NP","7H","IR","FinancialInclusion","0.429595515401598","DHS",1,"FinancialInclusion"
"NPL7H+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"NPL7H","NP","7H","PR","MobilePhonePR","0.950725199616809","DHS",1,"MobilePhonePR"
"NPL7H+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"NPL7H","NP","7H","IR","NoSexualViolence","0.929528813172558","DHS",1,"NoSexualViolence"
"PAK61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"PAK61","PK","61","HR","BankCardHH","0.267564222126847","DHS",1,"BankCardHH"
"PAK61+Covid",NA,NA,NA,NA,NA,NA,NA,"PAK61","PK","61","PR","Covid","0.0435572455799729","DHS",1,"Covid"
"PAK61+EmotionalViolence",NA,NA,NA,NA,NA,NA,NA,"PAK61","PK","61","IR","EmotionalViolence","0.329813640151685","DHS",1,"EmotionalViolence"
"PAK61+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"PAK61","PK","61","PR","MobilePhonePR","0.892388862181506","DHS",1,"MobilePhonePR"
"PAK61+PhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"PAK61","PK","61","IR","PhysicalViolence","0.269176594834123","DHS",1,"PhysicalViolence"
"PAK71+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"PAK71","PK","71","HR","BankCardHH","0.339658193585316","DHS",1,"BankCardHH"
"PAK71+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"PAK71","PK","71","IR","FinancialInclusion","0.141892421683659","DHS",1,"FinancialInclusion"
"PAK71+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"PAK71","PK","71","PR","MobilePhonePR","0.948423166743792","DHS",1,"MobilePhonePR"
"PAK71+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"PAK71","PK","71","IR","NoSexualViolence","0.952085197256346","DHS",1,"NoSexualViolence"
"PHL61+AllViolence",NA,NA,NA,NA,NA,NA,NA,"PHL61","PH","61","IR","AllViolence","0.25893199932895","DHS",1,"AllViolence"
"PHL61+EmotionalViolence",NA,NA,NA,NA,NA,NA,NA,"PHL61","PH","61","IR","EmotionalViolence","0.216447135868342","DHS",1,"EmotionalViolence"
"PHL61+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"PHL61","PH","61","PR","MobilePhonePR","0.862418083739835","DHS",1,"MobilePhonePR"
"PHL61+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"PHL61","PH","61","IR","NoSexualViolence","0.945840340559168","DHS",1,"NoSexualViolence"
"PHL61+PhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"PHL61","PH","61","IR","PhysicalViolence","0.127349654755139","DHS",1,"PhysicalViolence"
"PHL61+SexualPhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"PHL61","PH","61","IR","SexualPhysicalViolence","0.147137822112565","DHS",1,"SexualPhysicalViolence"
"PHL61+SexualViolence",NA,NA,NA,NA,NA,NA,NA,"PHL61","PH","61","IR","SexualViolence","0.0541596594408319","DHS",1,"SexualViolence"
"PHL70+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"PHL70","PH","70","IR","FinancialInclusion","0.275663940244471","DHS",1,"FinancialInclusion"
"PHL70+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"PHL70","PH","70","PR","MobilePhonePR","0.913161314990381","DHS",1,"MobilePhonePR"
"PHL70+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"PHL70","PH","70","IR","NoSexualViolence","0.960380483444229","DHS",1,"NoSexualViolence"
"PNG70+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"PNG70","PG","70","HR","BankCardHH","0.397859571222552","DHS",1,"BankCardHH"
"PNG70+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"PNG70","PG","70","IR","FinancialInclusion","0.222725106625229","DHS",1,"FinancialInclusion"
"PNG70+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"PNG70","PG","70","PR","MobilePhonePR","0.6016156484629","DHS",1,"MobilePhonePR"
"PNG70+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"PNG70","PG","70","IR","NoSexualViolence","0.708469531113391","DHS",1,"NoSexualViolence"
"THA2012+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"THA2012","Thailand","2012","wm","NoViolenceJustifiedAgainstWomen","0.869283055397351","MICS",1,"NoViolenceJustifiedAgainstWomen"
"THA2015+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"THA2015","Thailand","2015","wm","NoViolenceJustifiedAgainstWomen","0.913576599355127","MICS",1,"NoViolenceJustifiedAgainstWomen"
"TJK61+AllViolence",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","IR","AllViolence","0.244222069354147","DHS",1,"AllViolence"
"TJK61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","HR","BankCardHH","0.0224289189126867","DHS",1,"BankCardHH"
"TJK61+Covid",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","PR","Covid","0.121952046761034","DHS",1,"Covid"
"TJK61+EmotionalViolence",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","IR","EmotionalViolence","0.111838912233042","DHS",1,"EmotionalViolence"
"TJK61+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","PR","MobilePhonePR","0.943127367650686","DHS",1,"MobilePhonePR"
"TJK61+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","IR","NoSexualViolence","0.95629768777477","DHS",1,"NoSexualViolence"
"TJK61+PhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","IR","PhysicalViolence","0.195003900172058","DHS",1,"PhysicalViolence"
"TJK61+SexualPhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","IR","SexualPhysicalViolence","0.203138750099913","DHS",1,"SexualPhysicalViolence"
"TJK61+SexualViolence",NA,NA,NA,NA,NA,NA,NA,"TJK61","TJ","61","IR","SexualViolence","0.0437023122252302","DHS",1,"SexualViolence"
"TJK70+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"TJK70","TJ","70","HR","BankCardHH","0.0180216106141081","DHS",1,"BankCardHH"
"TJK70+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"TJK70","TJ","70","IR","FinancialInclusion","0.0521162107328967","DHS",1,"FinancialInclusion"
"TJK70+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"TJK70","TJ","70","PR","MobilePhonePR","0.967892281318045","DHS",1,"MobilePhonePR"
"TJK70+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"TJK70","TJ","70","IR","NoSexualViolence","0.98278508624473","DHS",1,"NoSexualViolence"
"TKM2015+AccessElectricity",NA,NA,NA,NA,NA,NA,NA,"TKM2015","Turkmenistan","2015","hh","AccessElectricity","0.999630188023446","MICS",1,"AccessElectricity"
"TKM2015+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"TKM2015","Turkmenistan","2015","wm","NoViolenceJustifiedAgainstWomen","0.736760106975155","MICS",1,"NoViolenceJustifiedAgainstWomen"
"TKM2015+ProfessionalHelp",NA,NA,NA,NA,NA,NA,NA,"TKM2015","Turkmenistan","2015","wm","ProfessionalHelp","1","MICS",1,"ProfessionalHelp"
"TKM2019+Covid",NA,NA,NA,NA,NA,NA,NA,"TKM2019","Turkmenistan","2019","hl","Covid","0","MICS",1,"Covid"
"TKM2019+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"TKM2019","Turkmenistan","2019","wm","NoViolenceJustifiedAgainstWomen","0.514221436086678","MICS",1,"NoViolenceJustifiedAgainstWomen"
"TKM2019+ProfessionalHelp",NA,NA,NA,NA,NA,NA,NA,"TKM2019","Turkmenistan","2019","wm","ProfessionalHelp","1","MICS",1,"ProfessionalHelp"
"TLS61+AllViolence",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","AllViolence","0.358532149363677","DHS",1,"AllViolence"
"TLS61+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","HR","BankCardHH","0.101347920890194","DHS",1,"BankCardHH"
"TLS61+ContraceptiveMethod",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","ContraceptiveMethod","0.396814556388133","DHS",1,"ContraceptiveMethod"
"TLS61+EmotionalViolence",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","EmotionalViolence","0.080812214750283","DHS",1,"EmotionalViolence"
"TLS61+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","NoSexualViolence","0.976734515719477","DHS",1,"NoSexualViolence"
"TLS61+PhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","PhysicalViolence","0.334963824179355","DHS",1,"PhysicalViolence"
"TLS61+ProfessionalHelp",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","ProfessionalHelp","0.35850532928704","DHS",1,"ProfessionalHelp"
"TLS61+SexualPhysicalViolence",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","SexualPhysicalViolence","0.343266177940769","DHS",1,"SexualPhysicalViolence"
"TLS61+SexualViolence",NA,NA,NA,NA,NA,NA,NA,"TLS61","TL","61","IR","SexualViolence","0.0232654842805231","DHS",1,"SexualViolence"
"TLS71+BankCardHH",NA,NA,NA,NA,NA,NA,NA,"TLS71","TL","71","HR","BankCardHH","0.490882994330872","DHS",1,"BankCardHH"
"TLS71+FinancialInclusion",NA,NA,NA,NA,NA,NA,NA,"TLS71","TL","71","IR","FinancialInclusion","0.13090174108843","DHS",1,"FinancialInclusion"
"TLS71+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"TLS71","TL","71","PR","MobilePhonePR","0.894817933125905","DHS",1,"MobilePhonePR"
"TLS71+NoSexualViolence",NA,NA,NA,NA,NA,NA,NA,"TLS71","TL","71","IR","NoSexualViolence","0.94994037177919","DHS",1,"NoSexualViolence"
"TUR61+MobilePhonePR",NA,NA,NA,NA,NA,NA,NA,"TUR61","TR","61","PR","MobilePhonePR","0.975351641409178","DHS",1,"MobilePhonePR"
"VNM2010+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"VNM2010","Vietnam","2010","wm","NoViolenceJustifiedAgainstWomen","0.641616026426382","MICS",1,"NoViolenceJustifiedAgainstWomen"
"VNM2013+NoViolenceJustifiedAgainstWomen",NA,NA,NA,NA,NA,NA,NA,"VNM2013","VietNam","2013","wm","NoViolenceJustifiedAgainstWomen","0.71752815227585","MICS",1,"NoViolenceJustifiedAgainstWomen"
